repeat,seed,fold,eval_split,model,encoder,image_width,image_height,probability_mode,temperature,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10,ordinal_mae,quadratic_weighted_kappa,ovr_auroc
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.58585859,0.59511689,0.57238738,0.51282051,0.70000000,0.47826087,0.58823529,0.56250000,0.63461538,0.54794521,0.62376238,0.54545455,0.53684420,0.87750784,0.07722291,0.44444444,0.46962392,0.74526074
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.13629464,198,0.58585859,0.59511689,0.57238738,0.51282051,0.70000000,0.47826087,0.58823529,0.56250000,0.63461538,0.54794521,0.62376238,0.54545455,0.54063279,0.88709387,0.09309488,0.44444444,0.46962392,0.74526306
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.50505051,0.53036792,0.48892092,0.33333333,0.71830986,0.42857143,0.55882353,0.45535714,0.57692308,0.41758242,0.55737705,0.49180328,0.59406865,0.96406767,0.05505034,0.58080808,0.29261977,0.69646578
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.13629464,198,0.50505051,0.53036792,0.48892092,0.33333333,0.71830986,0.42857143,0.55882353,0.45535714,0.57692308,0.41758242,0.55737705,0.49180328,0.59112872,0.96222253,0.05307613,0.58080808,0.29261977,0.69616607
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.50000000,0.55809632,0.49432641,0.34285714,0.73015873,0.44615385,0.70588235,0.41071429,0.55769231,0.46153846,0.52571429,0.49572650,0.60022302,0.96707549,0.06581467,0.58080808,0.33756657,0.70850619
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.17331853,198,0.50000000,0.55809632,0.49432641,0.34285714,0.73015873,0.44615385,0.70588235,0.41071429,0.55769231,0.46153846,0.52571429,0.49572650,0.59484436,0.96333806,0.06720489,0.58080808,0.33756657,0.70756650
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.50505051,0.56099170,0.49766900,0.37142857,0.70000000,0.43103448,0.76470588,0.43750000,0.48076923,0.50000000,0.53846154,0.45454545,0.60199743,0.97841911,0.12518368,0.56565657,0.35239697,0.70343840
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.17331853,198,0.50505051,0.56099170,0.49766900,0.37142857,0.70000000,0.43103448,0.76470588,0.43750000,0.48076923,0.50000000,0.53846154,0.45454545,0.59760773,0.97563976,0.11761234,0.56565657,0.35239697,0.70305022
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.48484848,0.50816096,0.47771477,0.42222222,0.63291139,0.36486486,0.55882353,0.44642857,0.51923077,0.48101266,0.52356021,0.42857143,0.61923873,1.02375150,0.09037397,0.57070707,0.32407829,0.65769497
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.47008195,198,0.48484848,0.50816096,0.47771477,0.42222222,0.63291139,0.36486486,0.55882353,0.44642857,0.51923077,0.48101266,0.52356021,0.42857143,0.60769451,0.99993149,0.02927917,0.57070707,0.32407829,0.65945061
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.45685279,0.45629085,0.43580529,0.37142857,0.62820513,0.33333333,0.38235294,0.43750000,0.54901961,0.37681159,0.51578947,0.41481481,0.62060369,1.02415434,0.04598774,0.61928934,0.22267795,0.64853379
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.47008195,197,0.45685279,0.45629085,0.43580529,0.37142857,0.62820513,0.33333333,0.38235294,0.43750000,0.54901961,0.37681159,0.51578947,0.41481481,0.61265027,0.99885156,0.08106348,0.61928934,0.22267795,0.64666030
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.48730964,0.54154995,0.47907798,0.36619718,0.65753425,0.41509434,0.76470588,0.42857143,0.43137255,0.49523810,0.51891892,0.42307692,0.62470573,1.00203464,0.09730521,0.57360406,0.35409836,0.67415496
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.36589518,197,0.48730964,0.54154995,0.47907798,0.36619718,0.65753425,0.41509434,0.76470588,0.42857143,0.43137255,0.49523810,0.51891892,0.42307692,0.60937443,0.98512275,0.06055859,0.57360406,0.35409836,0.67525238
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.52284264,0.56681839,0.51504103,0.33333333,0.69863014,0.52727273,0.67647059,0.45535714,0.56862745,0.44660194,0.55135135,0.54716981,0.60019411,0.97658520,0.12177363,0.53299492,0.39928930,0.71163253
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.36589518,197,0.52284264,0.56681839,0.51504103,0.33333333,0.69863014,0.52727273,0.67647059,0.45535714,0.56862745,0.44660194,0.55135135,0.54716981,0.59150207,0.96462729,0.07351402,0.53299492,0.39928930,0.71049391
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.47208122,0.52993697,0.46976781,0.33823529,0.64179104,0.43548387,0.67647059,0.38392857,0.52941176,0.45098039,0.48044693,0.47787611,0.60744967,0.99670783,0.03873185,0.58375635,0.36584506,0.68762480
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.64963283,197,0.47208122,0.52993697,0.46976781,0.33823529,0.64179104,0.43548387,0.67647059,0.38392857,0.52941176,0.45098039,0.48044693,0.47787611,0.62292268,1.01768443,0.11423518,0.58375635,0.36584506,0.68919296
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.54040404,0.55802898,0.52478207,0.41666667,0.70370370,0.43478261,0.58823529,0.50892857,0.57692308,0.48780488,0.59067358,0.49586777,0.56752040,0.93720612,0.05784258,0.52020202,0.36239160,0.73612069
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.64963283,198,0.54040404,0.55802898,0.52478207,0.41666667,0.70370370,0.43478261,0.58823529,0.50892857,0.57692308,0.48780488,0.59067358,0.49586777,0.56137044,0.92034020,0.04135952,0.52020202,0.36239160,0.73952398
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.46969697,0.51284745,0.46356993,0.34920635,0.62162162,0.40983607,0.64705882,0.41071429,0.48076923,0.45360825,0.49462366,0.44247788,0.58861118,0.95036171,0.10000180,0.58585859,0.34399309,0.70677995
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.08306272,198,0.46969697,0.51284745,0.46356993,0.34920635,0.62162162,0.40983607,0.64705882,0.41071429,0.48076923,0.45360825,0.49462366,0.44247788,0.58539923,0.94751139,0.08802633,0.58585859,0.34399309,0.70638394
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.54545455,0.59841629,0.53108210,0.39726027,0.73684211,0.46938776,0.85294118,0.50000000,0.44230769,0.54205607,0.59574468,0.45544554,0.57864201,0.93052425,0.08229051,0.52525253,0.37842466,0.72325006
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.08306272,198,0.54545455,0.59841629,0.53108210,0.39726027,0.73684211,0.46938776,0.85294118,0.50000000,0.44230769,0.54205607,0.59574468,0.45544554,0.57634690,0.92971615,0.09177159,0.52525253,0.37842466,0.72401346
2,20260607,1,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.47474747,0.54305376,0.46648741,0.35443038,0.70312500,0.38181818,0.82352941,0.40178571,0.40384615,0.49557522,0.51136364,0.39252336,0.59415810,0.95051542,0.10536705,0.61616162,0.29578606,0.73219757
2,20260607,1,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.66503445,198,0.47474747,0.54305376,0.46648741,0.35443038,0.70312500,0.38181818,0.82352941,0.40178571,0.40384615,0.49557522,0.51136364,0.39252336,0.58281267,0.94960845,0.02496543,0.61616162,0.29578606,0.73121319
2,20260607,1,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.51010101,0.54691877,0.49736337,0.30666667,0.72222222,0.50980392,0.67647059,0.46428571,0.50000000,0.42201835,0.56521739,0.50485437,0.62793615,1.03047884,0.12264877,0.57575758,0.31596639,0.67527866
2,20260607,1,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.66503445,198,0.51010101,0.54691877,0.49736337,0.30666667,0.72222222,0.50980392,0.67647059,0.46428571,0.50000000,0.42201835,0.56521739,0.50485437,0.60854173,0.99933647,0.07329810,0.57575758,0.31596639,0.67001904
2,20260607,2,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.51010101,0.52304191,0.49107057,0.34545455,0.66265060,0.45000000,0.55882353,0.49107143,0.51923077,0.42696629,0.56410256,0.48214286,0.60976517,1.00130254,0.06989402,0.55050505,0.33530214,0.64947136
2,20260607,2,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.57210574,198,0.51010101,0.52304191,0.49107057,0.34545455,0.66265060,0.45000000,0.55882353,0.49107143,0.51923077,0.42696629,0.56410256,0.48214286,0.61798535,1.00517432,0.06391345,0.55050505,0.33530214,0.65138841
2,20260607,2,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.51776650,0.54009104,0.50342523,0.38000000,0.67948718,0.43478261,0.55882353,0.47321429,0.58823529,0.45238095,0.55789474,0.50000000,0.58774242,0.96312729,0.08983177,0.53807107,0.36229832,0.71270313
2,20260607,2,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.57210574,197,0.51776650,0.54009104,0.50342523,0.38000000,0.67948718,0.43478261,0.55882353,0.47321429,0.58823529,0.45238095,0.55789474,0.50000000,0.58402675,0.93871791,0.08410466,0.53807107,0.36229832,0.71301104
2,20260607,3,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.43147208,0.48237628,0.43230979,0.35849057,0.58461538,0.35443038,0.55882353,0.33928571,0.54901961,0.43678161,0.42937853,0.43076923,0.61137658,0.96487094,0.13344736,0.62436548,0.31768781,0.70300109
2,20260607,3,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.40539646,197,0.43147208,0.48237628,0.43230979,0.35849057,0.58461538,0.35443038,0.55882353,0.33928571,0.54901961,0.43678161,0.42937853,0.43076923,0.59708455,0.96013599,0.07768683,0.62436548,0.31768781,0.70437410
2,20260607,3,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.47208122,0.50945378,0.46253357,0.33333333,0.66666667,0.39705882,0.58823529,0.41071429,0.52941176,0.42553191,0.50828729,0.45378151,0.61339003,0.99701895,0.08767420,0.60406091,0.29590539,0.69482740
2,20260607,3,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.40539646,197,0.47208122,0.50945378,0.46253357,0.33333333,0.66666667,0.39705882,0.58823529,0.41071429,0.52941176,0.42553191,0.50828729,0.45378151,0.60268811,0.98367486,0.04551609,0.60406091,0.29590539,0.69115317
2,20260607,4,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.48730964,0.51750700,0.46954373,0.33333333,0.67532468,0.41176471,0.67647059,0.46428571,0.41176471,0.44660194,0.55026455,0.41176471,0.61283079,1.00251635,0.04305287,0.59390863,0.28402078,0.67633000
2,20260607,4,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.86177230,197,0.48730964,0.51750700,0.46954373,0.33333333,0.67532468,0.41176471,0.67647059,0.46428571,0.41176471,0.44660194,0.55026455,0.41176471,0.61705177,1.00868107,0.06403942,0.59390863,0.28402078,0.67741406
2,20260607,4,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.52020202,0.55634562,0.51038184,0.34920635,0.67532468,0.50000000,0.64705882,0.46428571,0.55769231,0.45360825,0.55026455,0.52727273,0.58457812,0.95380663,0.07339436,0.53030303,0.39877569,0.70883003
2,20260607,4,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,0.86177230,198,0.52020202,0.55634562,0.51038184,0.34920635,0.67532468,0.50000000,0.64705882,0.46428571,0.55769231,0.45360825,0.55026455,0.52727273,0.58604827,0.95162963,0.08699578,0.53030303,0.39877569,0.70856148
3,20260608,0,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.51010101,0.57431049,0.51087993,0.41666667,0.69696970,0.41666667,0.73529412,0.41071429,0.57692308,0.53191489,0.51685393,0.48387097,0.58089235,0.93864778,0.08483302,0.54545455,0.39764111,0.73399393
3,20260608,0,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.88769160,198,0.51010101,0.57431049,0.51087993,0.41666667,0.69696970,0.41666667,0.73529412,0.41071429,0.57692308,0.53191489,0.51685393,0.48387097,0.57966275,0.95283693,0.09821545,0.54545455,0.39764111,0.73292924
3,20260608,0,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.45454545,0.51070621,0.44824572,0.29268293,0.67187500,0.44230769,0.70588235,0.38392857,0.44230769,0.41379310,0.48863636,0.44230769,0.65360305,1.06366400,0.11721027,0.63636364,0.28145161,0.66147678
3,20260608,0,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.88769160,198,0.45454545,0.51070621,0.44824572,0.29268293,0.67187500,0.44230769,0.70588235,0.38392857,0.44230769,0.41379310,0.48863636,0.44230769,0.62319222,1.02015693,0.06562816,0.63636364,0.28145161,0.65836754
3,20260608,1,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.47474747,0.50556184,0.46498237,0.25925926,0.67123288,0.54545455,0.61764706,0.43750000,0.46153846,0.36521739,0.52972973,0.50000000,0.63791033,1.04588740,0.08549224,0.61111111,0.28810021,0.67573155
3,20260608,1,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.18359590,198,0.47474747,0.50556184,0.46498237,0.25925926,0.67123288,0.54545455,0.61764706,0.43750000,0.46153846,0.36521739,0.52972973,0.50000000,0.62800044,1.02800762,0.06004523,0.61111111,0.28810021,0.67417690
3,20260608,1,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.52525253,0.59681373,0.52024669,0.38157895,0.73134328,0.47272727,0.85294118,0.43750000,0.50000000,0.52727273,0.54748603,0.48598131,0.57722969,0.93608951,0.06628274,0.54040404,0.39769452,0.75533232
3,20260608,1,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.18359590,198,0.52525253,0.59681373,0.52024669,0.38157895,0.73134328,0.47272727,0.85294118,0.43750000,0.50000000,0.52727273,0.54748603,0.48598131,0.57306166,0.93239527,0.08211575,0.54040404,0.39769452,0.75444589
3,20260608,2,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.54545455,0.57793310,0.52744746,0.40625000,0.71084337,0.45098039,0.76470588,0.52678571,0.44230769,0.53061224,0.60512821,0.44660194,0.54431980,0.88071318,0.04898288,0.52020202,0.36566831,0.76241444
3,20260608,2,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.21599518,198,0.54545455,0.57793310,0.52744746,0.40625000,0.71084337,0.45098039,0.76470588,0.52678571,0.44230769,0.53061224,0.60512821,0.44660194,0.54590464,0.88976890,0.03278678,0.52020202,0.36566831,0.76167295
3,20260608,2,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.53807107,0.55672269,0.51520198,0.36585366,0.70270270,0.47560976,0.44117647,0.46428571,0.76470588,0.40000000,0.55913978,0.58646617,0.59610996,0.96121037,0.15396489,0.50761421,0.41271285,0.69779834
3,20260608,2,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.21599518,197,0.53807107,0.55672269,0.51520198,0.36585366,0.70270270,0.47560976,0.44117647,0.46428571,0.76470588,0.40000000,0.55913978,0.58646617,0.58990435,0.95669096,0.13473082,0.50761421,0.41271285,0.69652787
3,20260608,3,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.47208122,0.51003735,0.46140630,0.30000000,0.67692308,0.43055556,0.52941176,0.39285714,0.60784314,0.38297872,0.49717514,0.50406504,0.61539357,1.00009275,0.09176040,0.60406091,0.30674760,0.69553147
3,20260608,3,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.26239805,197,0.47208122,0.51003735,0.46140630,0.30000000,0.67692308,0.43055556,0.52941176,0.39285714,0.60784314,0.38297872,0.49717514,0.50406504,0.60701831,0.99176184,0.04876577,0.60406091,0.30674760,0.69367976
3,20260608,3,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.49238579,0.56559290,0.49082569,0.36000000,0.68750000,0.44827586,0.79411765,0.39285714,0.50980392,0.49541284,0.50000000,0.47706422,0.61440070,0.99073632,0.08555301,0.56852792,0.38443158,0.70044750
3,20260608,3,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.26239805,197,0.49238579,0.56559290,0.49082569,0.36000000,0.68750000,0.44827586,0.79411765,0.39285714,0.50980392,0.49541284,0.50000000,0.47706422,0.60535143,0.98481891,0.05282119,0.56852792,0.38443158,0.69897029
3,20260608,4,test,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,197,0.49238579,0.57271242,0.49370884,0.35064935,0.68852459,0.47457627,0.79411765,0.37500000,0.54901961,0.48648649,0.48554913,0.50909091,0.60470339,0.97681929,0.06675895,0.56345178,0.40653242,0.71331035
3,20260608,4,test,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.06731156,197,0.49238579,0.57271242,0.49370884,0.35064935,0.68852459,0.47457627,0.79411765,0.37500000,0.54901961,0.48648649,0.48554913,0.50909091,0.60181691,0.97333947,0.06008510,0.56345178,0.40653242,0.71295858
3,20260608,4,val,lightly_finetuned_cnn,efficientnet_b0,384,192,raw,1.00000000,198,0.53030303,0.57599386,0.52263975,0.34848485,0.70833333,0.51666667,0.67647059,0.45535714,0.59615385,0.46000000,0.55434783,0.55357143,0.57782386,0.93658483,0.09774101,0.52525253,0.40870307,0.73425925
3,20260608,4,val,lightly_finetuned_cnn,efficientnet_b0,384,192,temperature_scaled,1.06731156,198,0.53030303,0.57599386,0.52263975,0.34848485,0.70833333,0.51666667,0.67647059,0.45535714,0.59615385,0.46000000,0.55434783,0.55357143,0.57669572,0.93608419,0.10960043,0.52525253,0.40870307,0.73389897
